TestType,ProductCount,BufferSize,AvgInitTime,AvgCommTime
Thread,500,7,0.000154278,0.000976025
Process,500,7,0.000217449,0.00085216
Thread,600,7,0.000156015,0.0011314
Process,600,7,0.000210591,0.000975695
Thread,700,7,0.00015524,0.00125986
Process,700,7,0.000212663,0.00110837
Thread,800,7,0.000155879,0.00141214
Process,800,7,0.000216114,0.00126902
Thread,900,7,0.000156413,0.00154252
Process,900,7,0.00021619,0.00142373
Thread,1000,7,0.000157606,0.00165827
Process,1000,7,0.000218142,0.00156305
Thread,1100,7,0.000160358,0.00182341
Process,1100,7,0.000208636,0.00169199
Thread,1200,7,0.000155524,0.00191343
Process,1200,7,0.000203468,0.00179405
Thread,1300,7,0.000157452,0.00202508
Process,1300,7,0.000222338,0.00199896
Thread,1400,7,0.000156257,0.00216358
Process,1400,7,0.00021508,0.00212714
Thread,1500,7,0.000158541,0.00230361
Process,1500,7,0.000215492,0.00227521
Thread,1600,7,0.000157998,0.00245406
Process,1600,7,0.000219682,0.00243743
Thread,1700,7,0.00015852,0.0025783
Process,1700,7,0.00021684,0.00253082
Thread,1800,7,0.00015681,0.00268357
Process,1800,7,0.000217186,0.0027048
Thread,1900,7,0.000157969,0.00285262
Process,1900,7,0.000216122,0.00287444
Thread,2000,7,0.000159184,0.00299313
Process,2000,7,0.000215613,0.00299256
Thread,2100,7,0.00015912,0.00312641
Process,2100,7,0.000219219,0.00313902
Thread,2200,7,0.000158372,0.00325786
Process,2200,7,0.00021267,0.00330843
Thread,2300,7,0.000159994,0.00336078
Process,2300,7,0.000221979,0.00343779
Thread,2400,7,0.000159837,0.00352024
Process,2400,7,0.000221883,0.00356685
Thread,2500,7,0.000159277,0.00363076
Process,2500,7,0.000222648,0.00373601
Thread,2600,7,0.000161136,0.00378966
Process,2600,7,0.000217441,0.00387483
Thread,2700,7,0.000157736,0.00393225
Process,2700,7,0.000220207,0.00402692
Thread,2800,7,0.000159617,0.00404617
Process,2800,7,0.000215288,0.00418005
Thread,2900,7,0.000157167,0.00414968
Process,2900,7,0.000221101,0.00431885
Thread,3000,7,0.000162774,0.00433151
Process,3000,7,0.000219035,0.00447089
Thread,3100,7,0.00015864,0.00443648
Process,3100,7,0.000223511,0.00458622
Thread,3200,7,0.000158617,0.00462056
Process,3200,7,0.000224226,0.00480144
Thread,3300,7,0.000160898,0.00475928
Process,3300,7,0.000223167,0.0049158
Thread,3400,7,0.000159986,0.00491135
Process,3400,7,0.000226026,0.0050115
Thread,3500,7,0.000158106,0.00500825
Process,3500,7,0.000220209,0.0051823
Thread,3600,7,0.000161884,0.0051214
Process,3600,7,0.000219997,0.00531645
Thread,3700,7,0.00016205,0.00532835
Process,3700,7,0.000217845,0.00546385
Thread,3800,7,0.000160419,0.00543045
Process,3800,7,0.000224374,0.0056411
Thread,3900,7,0.000161081,0.0055809
Process,3900,7,0.000220544,0.0057329
Thread,4000,7,0.000161728,0.0057055
Process,4000,7,0.000224903,0.00591145
Thread,4100,7,0.000161914,0.0058334
Process,4100,7,0.000220498,0.0060552
Thread,4200,7,0.000161855,0.00596405
Process,4200,7,0.000223629,0.00620765
Thread,4300,7,0.000165826,0.00613565
Process,4300,7,0.000226193,0.0063821
Thread,4400,7,0.00016243,0.0062474
Process,4400,7,0.000224201,0.00648485
Thread,4500,7,0.000163193,0.0064273
Process,4500,7,0.00022769,0.0066198
Thread,4600,7,0.000161284,0.00653915
Process,4600,7,0.000220043,0.00681355
Thread,4700,7,0.000165289,0.0067014
Process,4700,7,0.000217742,0.00690575
Thread,4800,7,0.000162673,0.00686065
Process,4800,7,0.000220517,0.00711595
Thread,4900,7,0.000163398,0.00699375
Process,4900,7,0.000232556,0.0072172
Thread,5000,7,0.000161925,0.0071022
Process,5000,7,0.000221976,0.0074154
Thread,100,20,0.000161576,0.000297563
Process,100,20,0.000231894,0.000239452
Thread,200,20,0.000165394,0.000432445
Process,200,20,0.00023209,0.000385603
Thread,300,20,0.000162732,0.00050025
Process,300,20,0.000222519,0.000521765
Thread,400,20,0.000163171,0.000554895
Process,400,20,0.000227985,0.000671875
Thread,500,20,0.000161003,0.00063763
Process,500,20,0.000222996,0.00082975
Thread,600,20,0.000163797,0.000687565
Process,600,20,0.000223647,0.00096961
Thread,700,20,0.000164486,0.0007777
Process,700,20,0.000228217,0.00112088
Thread,800,20,0.000161279,0.000844685
Process,800,20,0.000225311,0.00124078
Thread,900,20,0.000164028,0.00088949
Process,900,20,0.000226525,0.00142371
Thread,1000,20,0.000163596,0.00094753
Process,1000,20,0.000224581,0.00154049
Thread,1100,20,0.000164988,0.00101326
Process,1100,20,0.000227199,0.00169235
Thread,1200,20,0.000166319,0.00105982
Process,1200,20,0.000233261,0.00184319
Thread,1300,20,0.000163365,0.00112132
Process,1300,20,0.000231487,0.00201581
Thread,1400,20,0.000162829,0.00120122
Process,1400,20,0.000229625,0.00217515
Thread,1500,20,0.000162345,0.00121663
Process,1500,20,0.000229594,0.00230264
Thread,1600,20,0.000165898,0.00134208
Process,1600,20,0.000231744,0.00246892
Thread,1700,20,0.000166327,0.00134916
Process,1700,20,0.000240481,0.00260788
Thread,1800,20,0.000167285,0.00146033
Process,1800,20,0.000231862,0.00273379
Thread,1900,20,0.000164814,0.00149526
Process,1900,20,0.000227451,0.00288394
Thread,2000,20,0.000167138,0.00154371
Process,2000,20,0.00023072,0.00303419
Thread,2100,20,0.000166087,0.00164386
Process,2100,20,0.000227679,0.00318993
Thread,2200,20,0.000166485,0.00167385
Process,2200,20,0.000226368,0.00330955
Thread,2300,20,0.000166679,0.00178696
Process,2300,20,0.00023491,0.00352258
Thread,2400,20,0.000168914,0.00181778
Process,2400,20,0.000229295,0.0036122
Thread,2500,20,0.000166103,0.00187158
Process,2500,20,0.00022775,0.00377321
Thread,2600,20,0.000168152,0.00194141
Process,2600,20,0.000231789,0.00396892
Thread,2700,20,0.00016712,0.00201728
Process,2700,20,0.000232026,0.00408798
Thread,2800,20,0.000168557,0.0021054
Process,2800,20,0.000227834,0.00422835
Thread,2900,20,0.000165757,0.00215531
Process,2900,20,0.000230563,0.00436644
Thread,3000,20,0.000166049,0.00224665
Process,3000,20,0.000234456,0.00451162
Thread,3100,20,0.000167184,0.00230416
Process,3100,20,0.00023181,0.00469408
Thread,3200,20,0.000167767,0.00236938
Process,3200,20,0.000233659,0.0048575
Thread,3300,20,0.000168649,0.00238185
Process,3300,20,0.00022878,0.00500905
Thread,3400,20,0.00016554,0.00247405
Process,3400,20,0.000230621,0.0051642
Thread,3500,20,0.000167452,0.00258815
Process,3500,20,0.000235862,0.005286
Thread,3600,20,0.000169537,0.00259402
Process,3600,20,0.000232853,0.00538765
Thread,3700,20,0.000171014,0.00264485
Process,3700,20,0.000227602,0.00558825
Thread,3800,20,0.000169051,0.00280176
Process,3800,20,0.000236672,0.0057358
Thread,3900,20,0.000171051,0.00278579
Process,3900,20,0.00023589,0.00590755
Thread,4000,20,0.000167906,0.00284241
Process,4000,20,0.000230236,0.00602875
Thread,4100,20,0.000168424,0.00292896
Process,4100,20,0.000228172,0.00616775
Thread,4200,20,0.000169649,0.00302035
Process,4200,20,0.00023606,0.0063371
Thread,4300,20,0.000167571,0.00303564
Process,4300,20,0.000233175,0.0064975
Thread,4400,20,0.000169117,0.00312496
Process,4400,20,0.000232557,0.00663085
Thread,4500,20,0.000168447,0.00321437
Process,4500,20,0.000238053,0.0068011
